,,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,4:25PM ET,boxscore,W,,1-0,@,Los Angeles Chargers,36,34,30,536,466,70,2,30,433,200,233,,26.53,-18.83,-3.22
2,Sun,September 17,8:20PM ET,boxscore,W,,2-0,@,New England Patriots,24,17,22,389,244,145,1,23,288,200,88,2,13.09,0.98,-7.69
3,Sun,September 24,1:00PM ET,preview,,,,,Denver Broncos,0,,,,,,,,,,,,,,
4,Sun,October 1,1:00PM ET,preview,,,,@,Buffalo Bills,0,,,,,,,,,,,,,,
5,Sun,October 8,1:00PM ET,preview,,,,,New York Giants,0,,,,,,,,,,,,,,
6,Sun,October 15,1:00PM ET,preview,,,,,Carolina Panthers,0,,,,,,,,,,,,,,
7,Sun,October 22,8:20PM ET,preview,,,,@,Philadelphia Eagles,0,,,,,,,,,,,,,,
8,Sun,October 29,1:00PM ET,preview,,,,,New England Patriots,0,,,,,,,,,,,,,,
9,Sun,November 5,9:30AM ET,preview,,,,@,Kansas City Chiefs,0,,,,,,,,,,,,,,
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,November 19,1:00PM ET,preview,,,,,Las Vegas Raiders,0,,,,,,,,,,,,,,
12,Fri,November 24,3:00PM ET,preview,,,,@,New York Jets,0,,,,,,,,,,,,,,
13,Sun,December 3,1:00PM ET,preview,,,,@,Washington Commanders,0,,,,,,,,,,,,,,
14,Mon,December 11,8:15PM ET,preview,,,,,Tennessee Titans,0,,,,,,,,,,,,,,
15,Sun,December 17,1:00PM ET,preview,,,,,New York Jets,0,,,,,,,,,,,,,,
16,Sun,December 24,4:25PM ET,preview,,,,,Dallas Cowboys,0,,,,,,,,,,,,,,
17,Sun,December 31,1:00PM ET,preview,,,,@,Baltimore Ravens,0,,,,,,,,,,,,,,
18,Sun,January 7,1:00PM ET,preview,,,,,Buffalo Bills,0,,,,,,,,,,,,,,
